sites,cp,value
Barger,2008-2009,0.982
Barger,2009-2010,1
Barger,2011-2012,1
Barger,2012-2013,1
BC2,2011-2012,0.994
Butler,2009-2010,0.996
Chamberlain,2009-2010,0.96
Chamberlain,2010-2011,1
Fong,2009-2010,0.978
Fong,2011-2012,0.998
Fong,2011-2012,0.998
Gregory,2007-2008,1
Gregory,2011-2012,1
H16,2010-2011,1
Hrdy,2007-2008,0.987
Hrdy,2009-2010,1
Hrdy,2010-2011,0.988
Joe,2011-2012,0.977
MC1,2007-2008,1
MullerB,2006-2007,1
MullerB,2009-2010,0.997
MullerB,2011-2012,1
MullerB,2012-2013,1
Rominger,2010-2011,1
Rominger,2010-2011,0.966
Sperandio,2010-2011,0.996
Sperandio,2010-2011,0.997
Spiva,2009-2010,0.999
Spiva,2009-2010,0.999
Turkovich,2011-2012,0.992
USS,2011-2012,0.974
