"sites","value","cp"
"Spiva",0.999,"2009-2011"
"Spiva",0.999,"2009-2011"
"Sperandio",0.991,"2011-2012"
"Sperandio",0.992,"2011-2012"
"MC1",1,"2007-2008"
"Sperandio",1,"2013-2014"
"Fong",0.973,"2009-2010"
"Fong",1,"2011-2012"
"Fong",0.999,"2011-2012"
"Rominger",1,"2010-2011"
"Rominger",0.972,"2010-2011"
"Barger",1,"2009-2011"
"Rominger",0.996,"2012-2013"
"Barger",0.96,"2008-2009"
"Barger",1,"2012-2013"
"Barger",1,"2012-2013"
"Turkovich",0.992,"2012-2013"
"H16",0.953,"2009-2011"
"H16",0.999,"2011-2012"
"Hrdy",0.996,"2009-2011"
"H16",0.996,"2011-2012"
"Hrdy",1,"2011-2012"
"Joe",0.981,"2012-2013"
"Hrdy",1,"2011-2012"
"Harlan",1,"2011-2012"
"USS",0.992,"2011-2012"
"MullerB",1,"2006-2007"
"USS",0.969,"2012-2013"
"MullerB",0.987,"2009-2011"
"MullerB",1,"2012-2013"
"MullerB",0.998,"2012-2013"
"Butler",0.99,"2009-2011"
"Gregory",1,"2007-2008"
"Gregory",1,"2012-2013"
"Chamberlain",0.96,"2009-2011"
"Gregory",0.964,"2012-2013"
"Chamberlain",0.999,"2011-2012"
"MullerM",1,"2012-2013"
"BC2",0.998,"2012-2013"
