sites,cp,num.runs
Barger,2007-2008,0.066239316
Barger,2008-2009,0.997863248
Barger,2009-2011,0.995726496
BC2,2008-2009,0.134615385
BC2,2009-2011,0.854700855
Fong,2010-2011,0.995726496
Fong,2011-2012,0.002136752
H16,2008-2009,0.995726496
Hrdy,2007-2008,0.995726496
Hrdy,2008-2009,0.995726496
Hrdy,2009-2011,0.068376068
MC1,2007-2008,0.002136752
MullerB,2008-2009,0.995726496
MullerB,2009-2011,0.012820513
MullerB,2011-2012,0.985042735
Sperandio,2009-2011,0.997863248
Tractor,2009-2011,0.997863248
USS,2007-2008,0.004273504
USS,2008-2009,0.004273504
