"sites","cp","num.runs"
"Barger","2007-2008",0.276595744680851
"Hrdy","2007-2008",0.957446808510638
"Barger","2008-2009",0.978723404255319
"H16","2008-2009",0.957446808510638
"Hrdy","2008-2009",0.957446808510638
"MullerB","2008-2009",0.957446808510638
"BC2","2008-2009",0.936170212765957
"Barger","2009-2011",0.978723404255319
"Hrdy","2009-2011",0.276595744680851
"MullerB","2009-2011",0.0425531914893617
"Sperandio","2009-2011",0.978723404255319
"Tractor","2009-2011",0.978723404255319
"Fong","2010-2011",0.978723404255319
"MullerB","2011-2012",0.936170212765957
