"PlantGenusSpecies","earlyVisits","lateVisits","diffVisits","normalised.degree","d","proportional.generality","Site"
"Achillea millefolium",1,13,12,0.0476190476190476,0.133178558017577,0.0664851730114873,"Butler"
"Aster chilensis",3,1,-2,0.0952380952380952,0,0.132970346022975,"Butler"
"Baccharis salicifolia",2,2,0,0.0256410256410256,0.0969100130080564,0.0355342888685564,"Butler"
"Brassica sp.",123,190,67,0.333333333333333,0.0692708785767479,0.461945755291233,"Butler"
"Carduus pycnocephalus",2,3,1,0.230769230769231,0.505046076175624,0.319808599817007,"Butler"
"Convolvulus arvensis",64,106,42,0.384615384615385,0.200043526573738,0.533014333028346,"Butler"
"Eriogonum fasciculatum",2,10,8,0.0476190476190476,0.544659502606094,0.0664851730114873,"Butler"
"Eschscholzia californica",2,0,-2,0.0512820512820513,0,0.0710685777371128,"Butler"
"Grindelia hirsutula",16,0,-16,0.0476190476190476,0.243695804483599,0.0664851730114873,"Butler"
"Helianthus annuus",4,0,-4,0.0476190476190476,0.243695804483599,0.0664851730114873,"Butler"
"Picris echioides",27,66,39,0.142857142857143,0.143689698178154,0.199455519034462,"Butler"
"Polygonum lapathifolium",2,0,-2,0.0476190476190476,0.243695804483599,0.0664851730114873,"Butler"
"Sonchus sp.",4,1,-3,0.0476190476190476,0.544659502606094,0.0664851730114873,"Butler"
"Symphyotrichum chilense",1,0,-1,0.0476190476190476,0.411480944588517,0.0664851730114873,"Butler"
"Tribulus terrestris",9,0,-9,0.0476190476190476,0.0694063183929811,0.0664851730114873,"Butler"
"Vicia villosa",1,0,-1,0.0476190476190476,0.316989253909141,0.0664851730114873,"Butler"
"Erodium cicutarium",0,3,3,NA,NA,NA,"Butler"
"Grindelia camporum",0,4,4,0.0363636363636364,0.842267561607136,0.0520733461509809,"Butler"
"Heteromeles arbutifolia",0,18,18,NA,NA,NA,"Butler"
"Malva neglecta",0,2,2,NA,NA,NA,"Butler"
"Polygonum arenastrum",0,13,13,0.0181818181818182,0.114378125419289,0.0260366730754904,"Butler"
"Rosa californica",0,2,2,0.0727272727272727,0.413270822189377,0.104146692301962,"Butler"
"Sambucus mexicana",0,9,9,NA,NA,NA,"Butler"
"Silybum marianum",0,1,1,0.179487179487179,0.108393968714468,0.248740022079895,"Butler"
"Achillea millefolium",8,136,128,0.0476190476190476,0.133178558017577,0.0664851730114873,"MullerB"
"Anthemis cotula",10,37,27,0.0416666666666667,0.698970004336019,0.0585017309481762,"MullerB"
"Brassica sp.",49,422,373,0.333333333333333,0.0692708785767479,0.461945755291233,"MullerB"
"Calendula officinalis",10,3,-7,0.176470588235294,0.14117700636471,0.293497360915694,"MullerB"
"Capsella bursa-pastoris",2,0,-2,0.176470588235294,0.14117700636471,0.293497360915694,"MullerB"
"Centaurea cyanus",4,4,0,0.0588235294117647,0.203153679416459,0.0978324536385645,"MullerB"
"Centaurea solstitialis",18,0,-18,0.153846153846154,0.240672737623246,0.213205733211338,"MullerB"
"Convolvulus arvensis",7,3,-4,0.384615384615385,0.200043526573738,0.533014333028346,"MullerB"
"Coriandrum sativum",8,0,-8,0.0588235294117647,0.203153679416459,0.0978324536385645,"MullerB"
"Eschscholzia californica",50,60,10,0.0512820512820513,0,0.0710685777371128,"MullerB"
"Foeniculum vulgare",13,137,124,0.235294117647059,0,0.391329814554258,"MullerB"
"Grindelia hirsutula",2,23,21,0.0476190476190476,0.243695804483599,0.0664851730114873,"MullerB"
"Lactuca serriola",4,0,-4,0.0769230769230769,0.0206657974596536,0.106602866605669,"MullerB"
"Lotus corniculatus",36,36,0,0.176470588235294,0.338650134633976,0.293497360915694,"MullerB"
"Lotus purshianus",9,0,-9,0.235294117647059,0.261759343867602,0.391329814554258,"MullerB"
"Medicago polymorpha",1,10,9,0.181818181818182,0.710279510029762,0.260366730754904,"MullerB"
"Melilotus officinalis",7,135,128,0.294117647058824,0.187713725128436,0.489162268192823,"MullerB"
"Phacelia californica",73,0,-73,0.127272727272727,0.19458497735126,0.182256711528433,"MullerB"
"Picris echioides",62,88,26,0.142857142857143,0.143689698178154,0.199455519034462,"MullerB"
"Polygonum arenastrum",5,2,-3,0.0181818181818182,0.114378125419289,0.0260366730754904,"MullerB"
"Raphanus raphanistrum",3,17,14,0.102564102564103,0.149007564547111,0.142137155474226,"MullerB"
"Sonchus sp.",2,0,-2,0.0476190476190476,0.544659502606094,0.0664851730114873,"MullerB"
