"GenusSpecies","earlyVisits","lateVisits","diffVisits","normalised.degree","d","proportional.generality","Site"
"Agapostemon texanus",3,1,-2,0.142857142857143,0.160126510455574,0.194052885699142,"Barger"
"Allograpta obliqua",2,3,1,0.0714285714285714,0,0.0970264428495709,"Barger"
"Anthophora urbana",2,0,-2,0.142857142857143,0.228214632968917,0.194052885699142,"Barger"
"Ashmeadiella aridula astragali",1,0,-1,0.0714285714285714,0.0946854168809663,0.0970264428495709,"Barger"
"Bombus melanopygus",2,1,-1,0.142857142857143,0.478391212700653,0.194052885699142,"Barger"
"Ceratina acantha",7,66,59,0.357142857142857,0.0693837439780136,0.485132214247855,"Barger"
"Ceratina dallatorreana",3,0,-3,0.0714285714285714,0.0441770977877771,0.0970264428495709,"Barger"
"Ceriana tridens",1,9,8,0.0714285714285714,0,0.0970264428495709,"Barger"
"Diadasia enavata",6,0,-6,0.214285714285714,0.309366528334219,0.291079328548713,"Barger"
"Eristalis arbustorum",4,5,1,0.0714285714285714,0,0.0970264428495709,"Barger"
"Eucera frater albopilosa",1,0,-1,0.0714285714285714,0.22447612992302,0.0970264428495709,"Barger"
"Eupeodes fumipennis",5,33,28,0.285714285714286,0.163778819302793,0.388105771398284,"Barger"
"Eupeodes volucris",1,17,16,0.0714285714285714,0.22447612992302,0.0970264428495709,"Barger"
"Halictus ligatus",42,31,-11,0.571428571428571,0.170053320797497,0.776211542796567,"Barger"
"Halictus tripartitus",20,29,9,0.571428571428571,0.202757313724009,0.776211542796567,"Barger"
"Helophilus latifrons",1,0,-1,0.0714285714285714,0,0.0970264428495709,"Barger"
"Lasioglossum (Dialictus) diversopunctatum",10,3,-7,0.142857142857143,0.0258245872037083,0.194052885699142,"Barger"
"Lasioglossum (Dialictus) incompletum",76,43,-33,0.714285714285714,0.153481096205794,0.970264428495709,"Barger"
"Lasioglossum (Dialictus) megastictum",1,0,-1,0.0714285714285714,0.0441770977877771,0.0970264428495709,"Barger"
"Lasioglossum (Dialictus) tegulare group",9,16,7,0.285714285714286,0.103729571102644,0.388105771398284,"Barger"
"Megachile gentilis",1,3,2,0.0714285714285714,0.122936980725058,0.0970264428495709,"Barger"
"Megachile onobrychidis",1,0,-1,0.0714285714285714,0,0.0970264428495709,"Barger"
"Megachile rotundata",1,3,2,0.0714285714285714,0.122936980725058,0.0970264428495709,"Barger"
"Melissodes agilis",1,2,1,0.0714285714285714,0.122936980725058,0.0970264428495709,"Barger"
"Melissodes lupina",4,1,-3,0.214285714285714,0.156003480458014,0.291079328548713,"Barger"
"Melissodes robustior",2,0,-2,0.0714285714285714,0.122936980725058,0.0970264428495709,"Barger"
"Melissodes tepida timberlakei",3,0,-3,0.142857142857143,0,0.194052885699142,"Barger"
"Paragus haemorrhous",18,19,1,0.5,0.132955509467519,0.679185099946996,"Barger"
"Scaeva pyrastri",1,15,14,0.0714285714285714,0.22447612992302,0.0970264428495709,"Barger"
"Sphaerophoria contigua",1,0,-1,0.0714285714285714,0,0.0970264428495709,"Barger"
"Sphaerophoria pyrrhina",2,30,28,0.0714285714285714,0,0.0970264428495709,"Barger"
"Sphaerophoria sulphuripes",3,7,4,0.214285714285714,0.0784569532480997,0.291079328548713,"Barger"
"Syritta flaviventris",2,0,-2,0.142857142857143,0,0.194052885699142,"Barger"
"Syritta pipiens",4,4,0,0.142857142857143,0.0258245872037083,0.194052885699142,"Barger"
"Syrphus opinator",2,13,11,0.142857142857143,0.252312276319808,0.194052885699142,"Barger"
"Toxomerus marginatus",63,28,-35,0.285714285714286,0.0654460727338644,0.388105771398284,"Barger"
"Triepeolus sp. EM",2,0,-2,0.0714285714285714,0.122936980725058,0.0970264428495709,"Barger"
"Triepeolus sp. FM",1,0,-1,0.0714285714285714,0.0441770977877771,0.0970264428495709,"Barger"
"Triepeolus sp. nr. lestes",1,0,-1,0.0714285714285714,0.122936980725058,0.0970264428495709,"Barger"
"Allograpta exotica",0,13,13,0.473684210526316,0.169746124297623,0.709155337244158,"Barger"
"Andrena angustitarsata",0,2,2,NA,NA,NA,"Barger"
"Andrena cerasifolii",0,3,3,NA,NA,NA,"Barger"
"Andrena chlorogaster",0,1,1,NA,NA,NA,"Barger"
"Andrena knuthiana",0,5,5,NA,NA,NA,"Barger"
"Andrena melanochroa",0,1,1,NA,NA,NA,"Barger"
"Andrena piperi",0,2,2,NA,NA,NA,"Barger"
