"","x"
"Achillea millefolium",16
"Alyssum sp.",3
"Ambrosia sp.",1
"Anthemis cotula",9
"Asclepias fascicularis",3
"Aster chilensis",6
"Atriplex lentiformis",4
"Baccharis salicifolia",12
"Brassica sp.",43
"Calendula officinalis",6
"Capsella bursa-pastoris",2
"Carduus pycnocephalus",13
"Ceanothus hearstiorum",8
"Ceanothus sp.",16
"Centaurea cyanus",5
"Centaurea solstitialis",12
"Convolvulus arvensis",36
"Coriandrum sativum",4
"Epilobium campestre",3
"Eriogonum fasciculatum",19
"Erodium cicutarium",3
"Eschscholzia californica",21
"Euphorbia peplus",2
"Foeniculum vulgare",15
"Frangula californica",1
"Fremontodendron californica",2
"Grindelia camporum",13
"Grindelia hirsutula",17
"Helianthus annuus",2
"Heteromeles arbutifolia",32
"Hirschfieldia incana",3
"Kickxia elatine",2
"Lactuca serriola",6
"Lepidium latifolium",27
"Lobularia maritima",5
"Lotus corniculatus",12
"Lotus purshianus",4
"Lotus scoparius",1
"Lotus unifoliolatus",2
"Lupinus sp.",5
"Lythrum californicum",2
"Malva neglecta",2
"Malvella leprosa",1
"Marrubium vulgare",18
"Medicago polymorpha",7
"Medicago sativa",1
"Melilotus alba",2
"Melilotus officinalis",8
"Phacelia californica",17
"Physalis philadelphica",1
"Picris echioides",27
"Plantago lanceolata",9
"Plantago major",3
"Polygonum arenastrum",4
"Polygonum lapathifolium",4
"Portulaca oleracea",5
"Punica granatum",3
"Raphanus raphanistrum",16
"Rhamnus californica",11
"Rhamnus tomentella",6
"Rosa californica",13
"Salix sp.",4
"Salvia sp.",20
"Sambucus mexicana",16
"Silybum marianum",9
"Sonchus sp.",5
"Symphyotrichum chilense",1
"Torilis arvensis",2
"Tribulus terrestris",3
"Trifolium incarnatum",1
"Trifolium pratense",9
"Trifolium repens",1
"Vicia villosa",1
"Zinnia elegans",2
