"","x"
"Agapostemon texanus",7
"Allograpta exotica",26
"Allograpta obliqua",12
"Ancistrocerus lineativentris",1
"Andrena angustitarsata",2
"Andrena candida",2
"Andrena cerasifolii",6
"Andrena chlorogaster",1
"Andrena cressonii infasciata",2
"Andrena knuthiana",6
"Andrena piperi",3
"Andrena semipunctata",1
"Anthidiellum notatum robertsoni",1
"Anthophora urbana",8
"Asemosyrphus polygrammus",1
"Ashmeadiella aridula astragali",4
"Ashmeadiella bucconis denticulata",16
"Ashmeadiella cactorum basalis",2
"Atalopedes campestris",4
"Atilides halesus",2
"Bombus californicus",53
"Bombus crotchii",16
"Bombus melanopygus",11
"Bombus vandykei",1
"Bombus vosnesenskii",86
"Brephidium exilis",4
"Ceratina acantha",70
"Ceratina arizonensis",4
"Ceratina dallatorreana",28
"Ceratina nanula",5
"Ceriana tridens",27
"Chrysura pacifica",1
"Coelioxys gilensis",2
"Coelioxys novomexicana",1
"Coenonympha tullia",1
"Colias eurytheme",22
"Cupido amyntula",9
"Diadasia enavata",17
"Dianthidium ulkei",1
"Ectemnius areuatus",1
"Ectemnius spinifer",1
"Eristalinus aeneus",31
"Eristalis arbustorum",15
"Eristalis stipator",5
"Eristalis tenax",8
"Eucera actuosa",31
"Eucera frater albopilosa",1
"Eumenes crucifera",3
"Euodynerus annulatus",4
"Euodynerus hidalgo",5
"Eupeodes fumipennis",104
"Eupeodes volucris",35
"Halictus ligatus",251
"Halictus tripartitus",1024
"Helophilus latifrons",32
"Heriades occidentalis",1
"Hoplitis producta gracilis",6
"Hylaeus bisinuatus",3
"Hylaeus calvus",6
"Hylaeus mesillae",97
"Hylaeus rudbeckiae",1
"Junonia coenia",28
"Lasioglossum (Dialictus) brunneiiventre",3
"Lasioglossum (Dialictus) diversopunctatum",41
"Lasioglossum (Dialictus) impavidum",2
"Lasioglossum (Dialictus) incompletum",691
"Lasioglossum (Dialictus) megastictum",4
"Lasioglossum (Dialictus) punctatoventre",1
"Lasioglossum (Dialictus) sp. BM",3
"Lasioglossum (Dialictus) tegulare group",70
"Lasioglossum (Evylaeus) kincaidii",1
"Lasioglossum titusi",6
"Leptochilus rufinodus",1
"Lerodea eufala",1
"Lycaena helloides",9
"Megachile angelarum",12
"Megachile apicalis",24
"Megachile brevis",3
"Megachile coquilletti",1
"Megachile fidelis",9
"Megachile gentilis",13
"Megachile montivaga",1
"Megachile onobrychidis",36
"Megachile rotundata",7
"Melissodes agilis",15
"Melissodes communis alopex",1
"Melissodes lupina",80
"Melissodes robustior",19
"Melissodes stearnsi",2
"Melissodes tepida timberlakei",4
"Myathropa florea",1
"Nomada sp. 3",1
"Osmia aglaia",2
"Osmia gaudiosa",8
"Osmia granulosa",2
"Osmia laeta",1
"Osmia nemoris",1
"Osmia regulina",5
"Osmia texana",6
"Palpada alhambra",2
"Papilio rutulus",1
"Paragus haemorrhous",587
"Paragus longistylus",1
"Peponapis pruinosa",4
"Pholisora catullus",1
"Phyciodes mylitta",1
"Pieris rapae",122
"Platycheirus quadratus",2
"Platycheirus stegnus",45
"Plebejus acmon",6
"Poanes melane",1
"Polistes aurifer",9
"Polistes dominula",8
"Polistes dorsalis",4
"Pontia protodice",6
"Prionyx attratus",1
"Pyrgus communis",14
"Scaeva pyrastri",15
"Sceliphron caementarium",2
"Sphaerophoria contigua",10
"Sphaerophoria pyrrhina",62
"Sphaerophoria sulphuripes",49
"Stelis laticincta",2
"Stenodynerus blandus",1
"Stenodynerus cochisensis",2
"Strymon melinus",11
"Svastra obliqua expurgata",4
"Syritta flaviventris",33
"Syritta pipiens",48
"Syrphus opinator",26
"Tachytes distinctus",3
"Toxomerus marginatus",234
"Toxomerus occidentalis",4
"Triepeolus heterurus",12
"Triepeolus sp. EM",3
"Triepeolus sp. FM",1
"Triepeolus sp. nr. lestes",2
"Triepeolus timberlakei",1
"Tropidia quadrata",6
"Vanessa cardui",7
