"","x"
"Agapostemon texanus",5
"Allograpta exotica",2
"Allograpta obliqua",2
"Anthophora urbana",5
"Asemosyrphus polygrammus",1
"Ashmeadiella aridula astragali",1
"Atalopedes campestris",3
"Bombus californicus",40
"Bombus crotchii",16
"Bombus melanopygus",2
"Bombus vosnesenskii",68
"Ceratina acantha",7
"Ceratina dallatorreana",25
"Ceriana tridens",1
"Chrysura pacifica",1
"Coenonympha tullia",1
"Colias eurytheme",17
"Diadasia enavata",12
"Eristalis arbustorum",5
"Eristalis stipator",1
"Eristalis tenax",2
"Eucera actuosa",31
"Eucera frater albopilosa",1
"Euodynerus annulatus",2
"Eupeodes fumipennis",64
"Eupeodes volucris",14
"Halictus ligatus",136
"Halictus tripartitus",191
"Helophilus latifrons",8
"Hoplitis producta gracilis",5
"Hylaeus mesillae",9
"Hylaeus rudbeckiae",1
"Lasioglossum (Dialictus) diversopunctatum",34
"Lasioglossum (Dialictus) incompletum",316
"Lasioglossum (Dialictus) megastictum",3
"Lasioglossum (Dialictus) sp. BM",3
"Lasioglossum (Dialictus) tegulare group",27
"Lasioglossum (Evylaeus) kincaidii",1
"Leptochilus rufinodus",1
"Lycaena helloides",2
"Megachile angelarum",2
"Megachile apicalis",15
"Megachile brevis",2
"Megachile gentilis",5
"Megachile onobrychidis",27
"Megachile rotundata",1
"Melissodes agilis",2
"Melissodes lupina",31
"Melissodes robustior",17
"Melissodes stearnsi",1
"Melissodes tepida timberlakei",3
"Osmia gaudiosa",4
"Osmia nemoris",1
"Paragus haemorrhous",58
"Paragus longistylus",1
"Peponapis pruinosa",4
"Pholisora catullus",1
"Pieris rapae",27
"Platycheirus stegnus",21
"Plebejus acmon",3
"Polistes aurifer",7
"Polistes dominula",5
"Polistes dorsalis",4
"Pontia protodice",2
"Pyrgus communis",3
"Scaeva pyrastri",11
"Sceliphron caementarium",2
"Sphaerophoria contigua",1
"Sphaerophoria pyrrhina",3
"Sphaerophoria sulphuripes",34
"Stenodynerus blandus",1
"Stenodynerus cochisensis",1
"Strymon melinus",1
"Svastra obliqua expurgata",3
"Syritta flaviventris",5
"Syritta pipiens",8
"Syrphus opinator",15
"Tachytes distinctus",1
"Toxomerus marginatus",73
"Toxomerus occidentalis",1
"Triepeolus heterurus",3
"Triepeolus sp. EM",3
"Triepeolus sp. FM",1
"Triepeolus sp. nr. lestes",2
"Triepeolus timberlakei",1
"Vanessa cardui",1
