"","x"
"Achillea millefolium",16
"Alyssum sp.",3
"Anthemis cotula",9
"Asclepias curassavica",1
"Aster chilensis",3
"Atriplex lentiformis",3
"Baccharis salicifolia",16
"Brassica sp.",38
"Calendula officinalis",4
"Carduus pycnocephalus",14
"Ceanothus hearstiorum",8
"Ceanothus sp.",17
"Centaurea cyanus",2
"Centaurea solstitialis",1
"Convolvulus arvensis",25
"Daucus carota",3
"Epilobium campestre",3
"Eriogonum fasciculatum",23
"Erodium cicutarium",8
"Eschscholzia californica",10
"Foeniculum vulgare",15
"Grindelia camporum",12
"Grindelia hirsutula",15
"Heteromeles arbutifolia",34
"Hirschfieldia incana",3
"Lactuca serriola",3
"Lepidium latifolium",21
"Lobularia maritima",5
"Lotus corniculatus",12
"Lotus scoparius",1
"Lotus unifoliolatus",2
"Lupinus sp.",3
"Lythrum californicum",2
"Malva neglecta",4
"Malvella leprosa",1
"Marrubium vulgare",16
"Medicago polymorpha",6
"Medicago sativa",1
"Melilotus officinalis",8
"Phacelia californica",3
"Phacelia tanacetifolia",3
"Physalis philadelphica",1
"Picris echioides",27
"Plantago lanceolata",9
"Plantago major",3
"Polygonum arenastrum",4
"Portulaca oleracea",1
"Prunus ilicifolia",8
"Punica granatum",3
"Raphanus raphanistrum",12
"Rhamnus californica",18
"Rhamnus tomentella",6
"Rosa californica",14
"Salix sp.",4
"Salvia sp.",22
"Sambucus mexicana",18
"Silybum marianum",9
"Sonchus sp.",1
"Torilis arvensis",2
"Trifolium incarnatum",1
"Trifolium pratense",4
"Vicia villosa",3
"Zinnia elegans",2
