"","x"
"Agapostemon texanus",2
"Allograpta exotica",12
"Allograpta obliqua",8
"Andrena angustitarsata",2
"Andrena auricoma",2
"Andrena candida",2
"Andrena cerasifolii",2
"Andrena chlorogaster",1
"Andrena cressonii infasciata",2
"Andrena knuthiana",3
"Andrena melanochroa",1
"Andrena piperi",3
"Andrena semipunctata",1
"Anthidiellum notatum robertsoni",2
"Anthophora urbana",1
"Ashmeadiella aridula astragali",3
"Ashmeadiella bucconis denticulata",4
"Ashmeadiella cactorum basalis",1
"Bombus californicus",6
"Bombus melanopygus",4
"Bombus vandykei",1
"Bombus vosnesenskii",9
"Ceratina acantha",15
"Ceratina arizonensis",3
"Ceratina dallatorreana",2
"Ceratina nanula",3
"Ceriana tridens",5
"Coelioxys gilensis",2
"Coelioxys novomexicana",1
"Diadasia enavata",2
"Dianthidium ulkei",1
"Eristalinus aeneus",6
"Eristalis arbustorum",5
"Eristalis stipator",2
"Eristalis tenax",6
"Eupeodes fumipennis",22
"Eupeodes volucris",21
"Halictus ligatus",18
"Halictus tripartitus",38
"Helophilus latifrons",8
"Heriades occidentalis",1
"Hoplitis producta gracilis",1
"Hylaeus bisinuatus",3
"Hylaeus calvus",2
"Hylaeus leptocephalus",1
"Hylaeus mesillae",15
"Hylaeus rudbeckiae",2
"Lapposyrphus lapponicus",1
"Lasioglossum (Dialictus) brunneiiventre",2
"Lasioglossum (Dialictus) diversopunctatum",4
"Lasioglossum (Dialictus) impavidum",2
"Lasioglossum (Dialictus) incompletum",31
"Lasioglossum (Dialictus) megastictum",1
"Lasioglossum (Dialictus) punctatoventre",1
"Lasioglossum (Dialictus) tegulare group",12
"Lasioglossum titusi",1
"Megachile angelarum",6
"Megachile apicalis",7
"Megachile brevis",1
"Megachile coquilletti",2
"Megachile fidelis",3
"Megachile gentilis",5
"Megachile montivaga",1
"Megachile onobrychidis",7
"Megachile rotundata",3
"Melissodes agilis",6
"Melissodes communis alopex",1
"Melissodes lupina",6
"Melissodes robustior",1
"Melissodes stearnsi",1
"Melissodes tepida timberlakei",1
"Myathropa florea",1
"Nomada sp. 3",1
"Osmia aglaia",2
"Osmia gaudiosa",4
"Osmia granulosa",2
"Osmia laeta",1
"Osmia regulina",3
"Osmia texana",2
"Osmia trevoris",1
"Palpada alhambra",2
"Paragus haemorrhous",34
"Paragus sp.",1
"Platycheirus quadratus",2
"Platycheirus sp.",2
"Platycheirus stegnus",14
"Scaeva pyrastri",12
"Sphaerophoria contigua",5
"Sphaerophoria pyrrhina",16
"Sphaerophoria sulphuripes",14
"Sphecodes spp.",1
"Stelis laticincta",1
"Svastra obliqua expurgata",1
"Syritta flaviventris",7
"Syritta pipiens",14
"Syrphus opinator",10
"Toxomerus marginatus",26
"Toxomerus occidentalis",2
"Triepeolus heterurus",2
"Triepeolus utahensis",1
"Tropidia quadrata",2
