"","Agapostemon texanus","Allograpta exotica","Allograpta obliqua","Andrena angustitarsata","Andrena cerasifolii","Andrena chlorogaster","Andrena knuthiana","Andrena piperi","Andrena semipunctata","Anthidiellum notatum robertsoni","Ashmeadiella bucconis denticulata","Ashmeadiella cactorum basalis","Bombus melanopygus","Ceratina acantha","Ceratina arizonensis","Ceratina nanula","Ceriana tridens","Eristalis arbustorum","Eupeodes fumipennis","Eupeodes volucris","Halictus ligatus","Halictus tripartitus","Hylaeus bisinuatus","Hylaeus mesillae","Lasioglossum (Dialictus) diversopunctatum","Lasioglossum (Dialictus) impavidum","Lasioglossum (Dialictus) incompletum","Lasioglossum (Dialictus) punctatoventre","Lasioglossum (Dialictus) tegulare group","Megachile angelarum","Megachile apicalis","Megachile brevis","Megachile coquilletti","Megachile fidelis","Megachile gentilis","Megachile rotundata","Melissodes agilis","Melissodes communis alopex","Melissodes lupina","Myathropa florea","Osmia aglaia","Osmia granulosa","Osmia regulina","Osmia texana","Paragus haemorrhous","Platycheirus stegnus","Scaeva pyrastri","Sphaerophoria pyrrhina","Sphaerophoria sulphuripes","Svastra obliqua expurgata","Syritta pipiens","Syrphus opinator","Toxomerus marginatus","Toxomerus occidentalis","Triepeolus heterurus"
"Atriplex lentiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Baccharis salicifolia",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Brassica sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"Carduus pycnocephalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Ceanothus hearstiorum",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ceanothus sp.",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"Centaurea solstitialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0
"Eriogonum fasciculatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Heteromeles arbutifolia",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
