"","Ceratina dallatorreana","Eupeodes fumipennis","Eupeodes volucris","Halictus ligatus","Halictus tripartitus","Helophilus latifrons","Hylaeus mesillae","Lasioglossum (Dialictus) incompletum","Megachile apicalis","Megachile onobrychidis","Melissodes lupina","Paragus haemorrhous","Peponapis pruinosa","Platycheirus stegnus","Scaeva pyrastri","Sphaerophoria sulphuripes","Syritta flaviventris","Syritta pipiens","Syrphus opinator","Toxomerus marginatus","Triepeolus heterurus","Triepeolus sp. EM","Triepeolus sp. nr. lestes","Triepeolus timberlakei"
"Achillea millefolium",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aster chilensis",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis salicifolia",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Brassica sp.",0,22,11,6,12,1,0,21,0,0,4,0,0,11,5,15,2,3,6,0,2,1,0,1
"Carduus pycnocephalus",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus arvensis",6,0,0,4,19,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Eriogonum fasciculatum",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eschscholzia californica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Grindelia hirsutula",0,0,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helianthus annuus",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Picris echioides",0,0,0,3,0,0,0,14,1,0,1,0,4,0,0,0,0,0,0,2,1,0,1,0
"Polygonum lapathifolium",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sonchus sp.",0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Symphyotrichum chilense",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tribulus terrestris",0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia villosa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
