"","Anthophora urbana","Bombus vosnesenskii","Ceratina dallatorreana","Eupeodes fumipennis","Halictus ligatus","Halictus tripartitus","Lasioglossum (Dialictus) diversopunctatum","Lasioglossum (Dialictus) incompletum","Lasioglossum (Dialictus) megastictum","Lasioglossum (Dialictus) sp. BM","Lasioglossum (Dialictus) tegulare group","Lasioglossum (Evylaeus) kincaidii","Megachile apicalis","Melissodes lupina","Osmia gaudiosa","Osmia nemoris","Paragus haemorrhous","Platycheirus stegnus","Sphaerophoria sulphuripes","Syritta flaviventris","Syrphus opinator"
"Atriplex lentiformis",0,0,0,0,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus arvensis",0,0,1,0,1,13,7,47,1,0,4,1,1,0,0,0,0,1,0,0,1
"Eschscholzia californica",0,10,0,1,0,5,5,26,0,0,5,0,0,0,0,1,0,0,12,0,0
"Euphorbia peplus",0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
"Frangula californica",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fremontodendron californica",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Grindelia camporum",0,0,0,0,15,1,2,5,0,0,0,0,1,1,0,0,0,0,0,1,0
"Grindelia hirsutula",0,0,0,0,19,1,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lupinus sp.",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Medicago polymorpha",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Phacelia californica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
"Polygonum arenastrum",0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0
"Portulaca oleracea",1,0,0,0,0,1,0,6,1,0,4,0,0,0,0,0,0,0,0,0,0
"Rhamnus californica",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rosa californica",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sonchus sp.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tribulus terrestris",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
