"","Anthophora urbana","Asemosyrphus polygrammus","Atalopedes campestris","Bombus californicus","Bombus crotchii","Bombus vosnesenskii","Colias eurytheme","Diadasia enavata","Eristalis arbustorum","Eristalis tenax","Eucera actuosa","Eupeodes fumipennis","Halictus ligatus","Halictus tripartitus","Helophilus latifrons","Hoplitis producta gracilis","Hylaeus mesillae","Hylaeus rudbeckiae","Lasioglossum (Dialictus) incompletum","Leptochilus rufinodus","Lycaena helloides","Megachile angelarum","Megachile apicalis","Megachile brevis","Megachile gentilis","Megachile onobrychidis","Melissodes agilis","Melissodes lupina","Melissodes robustior","Melissodes stearnsi","Paragus haemorrhous","Paragus longistylus","Pieris rapae","Platycheirus stegnus","Plebejus acmon","Polistes aurifer","Polistes dominula","Polistes dorsalis","Pyrgus communis","Scaeva pyrastri","Sceliphron caementarium","Sphaerophoria pyrrhina","Sphaerophoria sulphuripes","Stenodynerus cochisensis","Svastra obliqua expurgata","Syritta pipiens","Syrphus opinator","Tachytes distinctus","Toxomerus marginatus"
"Achillea millefolium",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Anthemis cotula",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Brassica sp.",0,1,0,0,0,0,0,0,1,1,0,10,1,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,2,0,2,1,0,0,2,0,1,0,0,0,1,1,0,0
"Calendula officinalis",0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Capsella bursa-pastoris",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Centaurea cyanus",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea solstitialis",0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Coriandrum sativum",0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eschscholzia californica",0,0,0,2,1,21,0,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
