"","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Anderson",0,0,0,0,4,0,0,0,0
"Barger",2,3,3,3,0,3,4,5,3
"Barn",0,0,0,4,4,0,4,5,3
"BC1",4,3,3,0,0,0,0,0,0
"BC2",0,3,3,3,0,3,4,5,3
"Berm",0,0,0,0,0,0,4,5,3
"BermForb",0,0,0,0,0,0,0,5,4
"Best",0,0,0,0,0,0,4,5,3
"Bobcat",4,0,0,0,0,0,0,0,0
"Bramlett",0,0,0,0,0,0,0,0,3
"Bray1",0,0,0,0,0,0,0,0,3
"Bray2",0,0,0,0,0,0,0,0,3
"Butler",4,3,3,3,0,3,4,5,3
"Chamberlain",0,3,3,3,0,3,4,5,3
"CircleG",0,0,0,4,0,0,4,7,3
"CLBL",4,0,1,0,0,0,0,0,0
"CR101",0,0,0,0,0,0,3,5,3
"CR101Control",0,0,0,0,0,0,3,5,3
"CR29",0,0,0,0,0,0,4,5,3
"DQU",4,3,3,3,0,3,4,5,3
"Fong",0,0,1,4,4,2,4,5,3
"FongWest",0,0,0,0,0,0,4,5,3
"GC1",4,0,0,0,0,0,0,0,0
"Gilmer",0,0,0,0,0,0,4,5,3
"GilmerForb",0,0,0,0,0,0,0,5,5
"Gnoss",4,0,0,0,0,0,0,0,0
"Gregory",0,3,3,3,0,3,4,5,3
"H16",5,3,3,4,0,3,4,5,3
"Harlan",0,0,0,4,0,2,4,5,3
"Hatanaka",0,0,0,4,0,0,4,5,3
"Hays",0,0,0,0,0,0,4,1,0
"HC1",0,3,3,3,0,3,0,0,0
"Hrdy",0,3,3,3,0,3,4,5,3
"Joe",0,0,0,4,4,0,4,5,3
"Johnston",0,0,0,0,0,0,0,5,3
"Joost",0,0,0,0,4,0,0,0,0
"Loop",0,0,0,0,0,0,0,5,3
"Lowry",0,0,0,0,0,0,0,0,3
"Maria",0,0,0,0,0,0,0,5,3
"Mariani",0,0,0,0,0,0,4,0,0
"Martinez",0,0,0,0,0,0,4,5,3
"MC1",0,3,3,3,0,3,4,5,3
"MullerB",2,3,3,3,0,3,4,5,3
"MullerM",0,0,0,0,4,2,6,5,3
"Oakdale",0,0,0,0,0,0,4,5,0
"PurcellForb",0,0,0,0,0,0,0,5,5
"PutahCreek",0,0,0,0,0,0,4,5,3
"PutahCreekForb",0,0,0,0,0,0,0,5,5
"RLong",0,0,0,0,0,0,4,5,3
"Rock",4,0,0,0,0,0,0,0,0
"Rominger",0,0,0,4,4,2,4,5,3
"RomingerForb",0,0,0,0,0,0,0,5,5
"Roosevelt",0,0,0,0,0,0,0,1,0
"RSlough",0,0,0,0,0,0,3,5,3
"SHamilton",0,0,0,0,0,0,0,0,3
"Sperandio",0,3,3,3,0,4,4,5,3
"Spiva",0,3,3,3,0,4,4,5,3
"Tractor",0,0,0,4,0,2,4,5,3
"Turkovich",4,3,3,3,0,3,4,5,3
"USS",4,3,3,3,0,3,4,5,3
"Voelz",0,0,0,0,0,0,4,0,0
"YoloAirport",0,0,0,0,0,0,4,5,3
"Zamora",0,0,0,0,4,0,6,5,3
