"species","site","status"
"Ambrosia sp.","Barger","early"
"Asclepias fascicularis","Barger","early"
"Baccharis salicifolia","Barger","early"
"Brassica sp.","Barger","early"
"Carduus pycnocephalus","Barger","early"
"Ceanothus sp.","Barger","early"
"Centaurea solstitialis","Barger","early"
"Convolvulus arvensis","Barger","early"
"Eschscholzia californica","Barger","early"
"Lactuca serriola","Barger","early"
"Lepidium latifolium","Barger","early"
"Marrubium vulgare","Barger","early"
"Raphanus raphanistrum","Barger","early"
"Silybum marianum","Barger","early"
"Atriplex lentiformis","Barger","late"
"Baccharis salicifolia","Barger","late"
"Brassica sp.","Barger","late"
"Carduus pycnocephalus","Barger","late"
"Ceanothus hearstiorum","Barger","late"
"Ceanothus sp.","Barger","late"
"Centaurea solstitialis","Barger","late"
"Convolvulus arvensis","Barger","late"
"Eriogonum fasciculatum","Barger","late"
"Heteromeles arbutifolia","Barger","late"
"Lactuca serriola","Barger","late"
"Lepidium latifolium","Barger","late"
"Lotus unifoliolatus","Barger","late"
"Lupinus sp.","Barger","late"
"Malvella leprosa","Barger","late"
"Marrubium vulgare","Barger","late"
"Rosa californica","Barger","late"
"Salix sp.","Barger","late"
"Salvia sp.","Barger","late"
"Sambucus mexicana","Barger","late"
"Silybum marianum","Barger","late"
"Achillea millefolium","Butler","early"
"Aster chilensis","Butler","early"
"Baccharis salicifolia","Butler","early"
"Brassica sp.","Butler","early"
"Carduus pycnocephalus","Butler","early"
"Convolvulus arvensis","Butler","early"
"Eriogonum fasciculatum","Butler","early"
"Eschscholzia californica","Butler","early"
"Grindelia hirsutula","Butler","early"
"Helianthus annuus","Butler","early"
"Picris echioides","Butler","early"
"Polygonum lapathifolium","Butler","early"
"Sonchus sp.","Butler","early"
"Symphyotrichum chilense","Butler","early"
"Tribulus terrestris","Butler","early"
"Vicia villosa","Butler","early"
"Achillea millefolium","Butler","late"
"Aster chilensis","Butler","late"
"Baccharis salicifolia","Butler","late"
"Brassica sp.","Butler","late"
"Carduus pycnocephalus","Butler","late"
"Convolvulus arvensis","Butler","late"
"Eriogonum fasciculatum","Butler","late"
"Erodium cicutarium","Butler","late"
"Grindelia camporum","Butler","late"
"Heteromeles arbutifolia","Butler","late"
"Malva neglecta","Butler","late"
"Picris echioides","Butler","late"
"Polygonum arenastrum","Butler","late"
"Rosa californica","Butler","late"
"Sambucus mexicana","Butler","late"
"Silybum marianum","Butler","late"
"Sonchus sp.","Butler","late"
"Atriplex lentiformis","Hrdy","early"
"Convolvulus arvensis","Hrdy","early"
"Eschscholzia californica","Hrdy","early"
"Euphorbia peplus","Hrdy","early"
"Frangula californica","Hrdy","early"
"Fremontodendron californica","Hrdy","early"
"Grindelia camporum","Hrdy","early"
"Grindelia hirsutula","Hrdy","early"
"Lupinus sp.","Hrdy","early"
"Medicago polymorpha","Hrdy","early"
"Phacelia californica","Hrdy","early"
"Polygonum arenastrum","Hrdy","early"
"Portulaca oleracea","Hrdy","early"
"Rhamnus californica","Hrdy","early"
"Rosa californica","Hrdy","early"
"Sonchus sp.","Hrdy","early"
"Tribulus terrestris","Hrdy","early"
"Aster chilensis","Hrdy","late"
"Atriplex lentiformis","Hrdy","late"
"Convolvulus arvensis","Hrdy","late"
"Epilobium campestre","Hrdy","late"
"Eriogonum fasciculatum","Hrdy","late"
"Erodium cicutarium","Hrdy","late"
"Grindelia camporum","Hrdy","late"
"Grindelia hirsutula","Hrdy","late"
"Heteromeles arbutifolia","Hrdy","late"
"Phacelia californica","Hrdy","late"
"Picris echioides","Hrdy","late"
"Portulaca oleracea","Hrdy","late"
"Rhamnus californica","Hrdy","late"
"Rhamnus tomentella","Hrdy","late"
"Rosa californica","Hrdy","late"
"Salvia sp.","Hrdy","late"
"Sambucus mexicana","Hrdy","late"
"Sonchus sp.","Hrdy","late"
"Achillea millefolium","MullerB","early"
"Anthemis cotula","MullerB","early"
"Brassica sp.","MullerB","early"
"Calendula officinalis","MullerB","early"
"Capsella bursa-pastoris","MullerB","early"
"Centaurea cyanus","MullerB","early"
"Centaurea solstitialis","MullerB","early"
"Convolvulus arvensis","MullerB","early"
"Coriandrum sativum","MullerB","early"
"Eschscholzia californica","MullerB","early"
"Foeniculum vulgare","MullerB","early"
"Grindelia hirsutula","MullerB","early"
"Lactuca serriola","MullerB","early"
"Lotus corniculatus","MullerB","early"
"Lotus purshianus","MullerB","early"
"Medicago polymorpha","MullerB","early"
"Melilotus officinalis","MullerB","early"
"Phacelia californica","MullerB","early"
"Picris echioides","MullerB","early"
"Polygonum arenastrum","MullerB","early"
"Raphanus raphanistrum","MullerB","early"
"Sonchus sp.","MullerB","early"
"Trifolium pratense","MullerB","early"
"Trifolium repens","MullerB","early"
"Achillea millefolium","MullerB","late"
"Alyssum sp.","MullerB","late"
"Anthemis cotula","MullerB","late"
"Baccharis salicifolia","MullerB","late"
"Brassica sp.","MullerB","late"
"Calendula officinalis","MullerB","late"
"Ceanothus sp.","MullerB","late"
"Centaurea cyanus","MullerB","late"
"Convolvulus arvensis","MullerB","late"
"Eriogonum fasciculatum","MullerB","late"
"Eschscholzia californica","MullerB","late"
"Foeniculum vulgare","MullerB","late"
"Grindelia camporum","MullerB","late"
"Grindelia hirsutula","MullerB","late"
"Heteromeles arbutifolia","MullerB","late"
"Hirschfieldia incana","MullerB","late"
"Lepidium latifolium","MullerB","late"
"Lobularia maritima","MullerB","late"
"Lotus corniculatus","MullerB","late"
"Lotus scoparius","MullerB","late"
"Lupinus sp.","MullerB","late"
"Medicago polymorpha","MullerB","late"
"Medicago sativa","MullerB","late"
"Melilotus officinalis","MullerB","late"
"Physalis philadelphica","MullerB","late"
"Picris echioides","MullerB","late"
"Plantago lanceolata","MullerB","late"
"Plantago major","MullerB","late"
"Polygonum arenastrum","MullerB","late"
"Punica granatum","MullerB","late"
"Raphanus raphanistrum","MullerB","late"
"Rhamnus tomentella","MullerB","late"
"Salix sp.","MullerB","late"
"Salvia sp.","MullerB","late"
"Torilis arvensis","MullerB","late"
"Trifolium incarnatum","MullerB","late"
"Trifolium pratense","MullerB","late"
"Zinnia elegans","MullerB","late"
"Brassica sp.","Sperandio","early"
"Centaurea solstitialis","Sperandio","early"
"Convolvulus arvensis","Sperandio","early"
"Grindelia camporum","Sperandio","early"
"Kickxia elatine","Sperandio","early"
"Melilotus alba","Sperandio","early"
"Picris echioides","Sperandio","early"
"Polygonum lapathifolium","Sperandio","early"
"Raphanus raphanistrum","Sperandio","early"
"Trifolium pratense","Sperandio","early"
"Brassica sp.","Sperandio","late"
"Ceanothus hearstiorum","Sperandio","late"
"Ceanothus sp.","Sperandio","late"
"Convolvulus arvensis","Sperandio","late"
"Eriogonum fasciculatum","Sperandio","late"
"Grindelia camporum","Sperandio","late"
"Grindelia hirsutula","Sperandio","late"
"Lactuca serriola","Sperandio","late"
"Lythrum californicum","Sperandio","late"
"Picris echioides","Sperandio","late"
"Raphanus raphanistrum","Sperandio","late"
"Rhamnus californica","Sperandio","late"
"Rhamnus tomentella","Sperandio","late"
"Rosa californica","Sperandio","late"
"Sambucus mexicana","Sperandio","late"
