"species","class","site","earlyAbund","lateAbund","degree","partners"
"Atriplex lentiformis","colonist","Barger",16,2,3,3
"Ceanothus hearstiorum","colonist","Barger",3,1,8,8
"Eriogonum fasciculatum","colonist","Barger",1,1,23,23
"Erodium cicutarium","colonist","Barger",5,2,8,8
"Heteromeles arbutifolia","colonist","Barger",1,1,34,34
"Lotus unifoliolatus","colonist","Barger",NA,NA,2,2
"Lupinus sp.","colonist","Barger",NA,2,3,3
"Malva neglecta","colonist","Barger",NA,NA,4,4
"Malvella leprosa","colonist","Barger",NA,NA,1,1
"Prunus ilicifolia","colonist","Barger",NA,NA,8,8
"Rosa californica","colonist","Barger",NA,NA,14,14
"Salix sp.","colonist","Barger",NA,NA,4,4
"Salvia sp.","colonist","Barger",NA,NA,22,22
"Sambucus mexicana","colonist","Barger",NA,NA,18,18
"Erodium cicutarium","colonist","Butler",5,2,8,8
"Grindelia camporum","colonist","Butler",10,1,12,12
"Heteromeles arbutifolia","colonist","Butler",1,1,34,34
"Malva neglecta","colonist","Butler",NA,NA,4,4
"Phacelia tanacetifolia","colonist","Butler",NA,NA,3,3
"Polygonum arenastrum","colonist","Butler",NA,NA,4,4
"Rosa californica","colonist","Butler",NA,NA,14,14
"Sambucus mexicana","colonist","Butler",NA,NA,18,18
"Silybum marianum","colonist","Butler",NA,NA,9,9
"Aster chilensis","colonist","Hrdy",5,11,3,3
"Epilobium campestre","colonist","Hrdy",4,3,3,3
"Eriogonum fasciculatum","colonist","Hrdy",1,1,23,23
"Erodium cicutarium","colonist","Hrdy",5,2,8,8
"Heteromeles arbutifolia","colonist","Hrdy",1,1,34,34
"Malva neglecta","colonist","Hrdy",NA,NA,4,4
"Picris echioides","colonist","Hrdy",NA,NA,27,27
"Rhamnus tomentella","colonist","Hrdy",NA,NA,6,6
"Salvia sp.","colonist","Hrdy",NA,NA,22,22
"Sambucus mexicana","colonist","Hrdy",NA,NA,18,18
"Alyssum sp.","colonist","MullerB",NA,NA,3,3
"Asclepias curassavica","colonist","MullerB",NA,NA,1,1
"Baccharis salicifolia","colonist","MullerB",3,40,16,16
"Ceanothus sp.","colonist","MullerB",8,1,17,17
"Daucus carota","colonist","MullerB",NA,NA,3,3
"Eriogonum fasciculatum","colonist","MullerB",1,1,23,23
"Grindelia camporum","colonist","MullerB",10,1,12,12
"Heteromeles arbutifolia","colonist","MullerB",1,1,34,34
"Hirschfieldia incana","colonist","MullerB",10,4,3,3
"Lepidium latifolium","colonist","MullerB",NA,1,21,21
"Lobularia maritima","colonist","MullerB",NA,4,5,5
"Lotus scoparius","colonist","MullerB",NA,1,1,1
"Lupinus sp.","colonist","MullerB",NA,2,3,3
"Medicago sativa","colonist","MullerB",NA,NA,1,1
"Physalis philadelphica","colonist","MullerB",NA,NA,1,1
"Plantago lanceolata","colonist","MullerB",NA,NA,9,9
"Plantago major","colonist","MullerB",NA,NA,3,3
"Punica granatum","colonist","MullerB",NA,NA,3,3
"Rhamnus californica","colonist","MullerB",NA,NA,18,18
"Rhamnus tomentella","colonist","MullerB",NA,NA,6,6
"Salix sp.","colonist","MullerB",NA,NA,4,4
"Salvia sp.","colonist","MullerB",NA,NA,22,22
"Torilis arvensis","colonist","MullerB",NA,NA,2,2
"Trifolium incarnatum","colonist","MullerB",NA,NA,1,1
"Zinnia elegans","colonist","MullerB",NA,NA,2,2
"Ceanothus hearstiorum","colonist","Sperandio",3,1,8,8
"Ceanothus sp.","colonist","Sperandio",8,1,17,17
"Eriogonum fasciculatum","colonist","Sperandio",1,1,23,23
"Erodium cicutarium","colonist","Sperandio",5,2,8,8
"Grindelia hirsutula","colonist","Sperandio",1,2,15,15
"Heteromeles arbutifolia","colonist","Sperandio",1,1,34,34
"Lactuca serriola","colonist","Sperandio",24,1,3,3
"Lythrum californicum","colonist","Sperandio",NA,1,2,2
"Rhamnus californica","colonist","Sperandio",NA,NA,18,18
"Rhamnus tomentella","colonist","Sperandio",NA,NA,6,6
"Rosa californica","colonist","Sperandio",NA,NA,14,14
"Sambucus mexicana","colonist","Sperandio",NA,NA,18,18
