"GenusSpecies","degree","proportional.generality","d","occ.date"
"Agapostemon texanus",10,0.458592049619354,0.187066936210627,0.115384615384615
"Allograpta exotica",23,0.504306832046654,0.0906078564739874,0.208333333333333
"Allograpta micrura",1,0.0592591443623598,0.290632780407771,NA
"Allograpta obliqua",9,0.372180414206339,0.102700575403394,0.115384615384615
"Anasimyia lunulatus",1,0.0592591443623598,0,0.0416666666666667
"Andrena angustitarsata",2,0.103985893233469,0.574514978521689,0.0769230769230769
"Andrena auricoma",5,0.282204084298636,0.345102619119103,0.0416666666666667
"Andrena candida",13,0.542187551127005,0.492582422930601,0.0416666666666667
"Andrena cerasifolii",3,0.16572242828671,0.261709577768237,0.0384615384615385
"Andrena chlorogaster",5,0.21811283204902,0.221522812312426,0.0833333333333333
"Andrena cressonii infasciata",5,0.264038583377772,0.427001906416664,NA
"Andrena knuthiana",6,0.32300333153074,0.443444040472657,NA
"Andrena nigrocaerulea",1,0.0592591443623598,0,0.0416666666666667
"Andrena orthocarpi",1,0.0592591443623598,0,NA
"Andrena piperi",5,0.237036577449439,0.272639408145719,0.0833333333333333
"Andrena scurra",1,0.0592591443623598,0.0971515292882409,0.0416666666666667
"Andrena semipunctata",1,0.0592591443623598,0.445974057473116,0.0384615384615385
"Andrena subaustralis",1,0.0592591443623598,0.423005845657617,NA
"Andrena subchalybea",2,0.111992765071344,0.332491351849183,0.0833333333333333
"Andrena w-scripta",1,0.0592591443623598,0.639084888406363,NA
"Anthidiellum notatum robertsoni",8,0.176694811379948,0.355784291809996,0.0434782608695652
"Anthidium manicatum",1,0.0592591443623598,0.368649886648365,NA
"Anthophora urbana",22,0.69855885624214,0.521814959148024,NA
"Asemosyrphus polygrammus",2,0.0803631872001882,0.137927087006521,0.1
"Ashmeadiella aridula astragali",12,0.410608537360161,0.234620830803883,0.0384615384615385
"Ashmeadiella bucconis denticulata",8,0.313715548161192,0.496442920760659,0.2
"Ashmeadiella cactorum basalis",2,0.111992765071344,0.829520165274889,0.2
"Bombus californicus",20,0.740836052228222,0.534885378232668,NA
"Bombus crotchii",4,0.114639465045312,0.618111061553348,0.111111111111111
"Bombus melanopygus",10,0.382423536744734,0.368940795790284,0.115384615384615
"Bombus vandykei",2,0.11851828872472,0.352161833170753,NA
"Bombus vosnesenskii",24,0.767927767430812,0.423393856839924,NA
"Calliopsis fracta",1,0.0592591443623598,0.91443607950088,NA
"Calliopsis hesperia equina",2,0.111992765071344,0.384790331051757,NA
"Calliopsis scitula",1,0.0592591443623598,0.473304755032097,NA
"Calliopsis scutellaris",1,0.0592591443623598,0.550511035262016,NA
"Ceratina acantha",26,0.383868474822383,0.167753680559441,0.423076923076923
"Ceratina arizonensis",11,0.285136759924032,0.282215531276024,0.1
"Ceratina dallatorreana",13,0.205825420133412,0.13462027071616,0.0769230769230769
"Ceratina nanula",12,0.234098356791489,0.109922249785086,0.1
"Ceratina timberlakei",1,0.0592591443623598,0.560836196860807,0.0357142857142857
"Ceriana tridens",9,0.175120468273114,0.490476401340948,0.230769230769231
"Coelioxys apacheiorum",1,0.0592591443623598,0.145785620457114,NA
"Coelioxys gilensis",3,0.177777433087079,0.314508383912386,NA
"Coelioxys novomexicana",2,0.0977411372147084,0.161857532001638,0.0416666666666667
"Coelioxys octodentata",3,0.162930604036229,0.146069250737027,0.0714285714285714
"Colletes fulgidus",1,0.0592591443623598,0.510809142360883,NA
"Colletes hyalinus",1,0.0592591443623598,0.918390391417758,NA
"Copestylum mexicanum",4,0.22455016706815,0.137923499206285,0.0416666666666667
"Diadasia conociata",1,0.0592591443623598,0.0165819626469516,NA
"Diadasia consociata",2,0.0977411372147084,0.192851092996718,0.0833333333333333
"Diadasia diminuta",1,0.0592591443623598,0.772146273359479,0.0416666666666667
"Diadasia enavata",16,0.58160805354406,0.214042542945142,0.0769230769230769
"Diadasia ochracea",1,0.0592591443623598,0.479903212019137,NA
"Dianthidium ulkei",1,0.0592591443623598,0.359586247297088,0.0416666666666667
"Eristalinus aeneus",12,0.285583966799723,0.0956265253662074,0.166666666666667
"Eristalis arbustorum",6,0.15886862185661,0.161646612798748,0.230769230769231
"Eristalis hirta",1,0.0592591443623598,0.335584435201155,NA
"Eristalis stipator",8,0.281456343159764,0.109076375285889,0.107142857142857
"Eristalis tenax",9,0.136565450761998,0.167493340087206,0.3
"Eucera actuosa",8,0.184570596472426,0.651446467656545,0.0740740740740741
"Eucera frater albopilosa",1,0.0592591443623598,0.412637939737235,0.0384615384615385
"Eumerus strigatus",3,0.155536903708034,0.150641491897794,NA
"Eupeodes fumipennis",43,0.487815875070771,0.245328036249648,0.230769230769231
"Eupeodes volucris",35,0.592860469085752,0.126616854972012,0.192307692307692
"Halictus ligatus",48,0.726959344693864,0.17244041777448,0.692307692307692
"Halictus tripartitus",76,0.482656316497992,0.142529818081505,0.653846153846154
"Helophilus latifrons",25,0.359249238198165,0.0631911163780016,0.0384615384615385
"Heriades occidentalis",2,0.11851828872472,0.211673197637258,0.0416666666666667
"Hoplitis producta gracilis",5,0.264038583377772,0.384858226443338,0.0740740740740741
"Hylaeus bisinuatus",4,0.173376052581894,0.0893512058478665,0.0833333333333333
"Hylaeus calvus",4,0.181392544910911,0.487536205805996,0.0833333333333333
"Hylaeus conspicuus",8,0.282315884073252,0.289983099005898,0.0833333333333333
"Hylaeus episcopalis",1,0.0592591443623598,0.145785620457114,NA
"Hylaeus leptocephalus",1,0.0592591443623598,0,0.0357142857142857
"Hylaeus mesillae",25,0.541704213721757,0.217619474266251,0.208333333333333
"Hylaeus rudbeckiae",4,0.237036577449439,0.25632356258504,0.037037037037037
"Lasioglossum (Dialictus) brunneiiventre",9,0.260354197665179,0.223864778295098,NA
"Lasioglossum (Dialictus) diversopunctatum",21,0.581415549005436,0.0960150458657856,0.153846153846154
"Lasioglossum (Dialictus) impavidum",4,0.166581079947656,0.102644150463008,0.0769230769230769
"Lasioglossum (Dialictus) incompletum",94,0.635791879946559,0.11587134205755,0.807692307692308
"Lasioglossum (Dialictus) megastictum",5,0.167220354044492,0.150809246941104,0.0384615384615385
"Lasioglossum (Dialictus) punctatoventre",8,0.392476677363895,0.302228349229194,0.0416666666666667
"Lasioglossum (Dialictus) sp. BM",1,0.0592591443623598,0.657744318003519,NA
"Lasioglossum (Dialictus) tegulare group",32,0.449401742292765,0.106807390298769,0.461538461538462
"Lasioglossum (Evylaeus) diatretum",1,0.0592591443623598,0.0732493121975819,0.0357142857142857
"Lasioglossum (Evylaeus) granosum",1,0.0592591443623598,0.0165819626469516,NA
"Lasioglossum (Evylaeus) kincaidii",8,0.313569917778559,0.17971647451943,0.0416666666666667
"Lasioglossum (Evylaeus) nigrescens",2,0.11851828872472,0.150969836366407,NA
"Lasioglossum (Evylaeus) sp. 4",1,0.0592591443623598,0,NA
"Lasioglossum mellipes",2,0.11851828872472,0.344824133317833,0.0416666666666667
"Lasioglossum sisymbrii",4,0.199698705321905,0.402977783716136,NA
"Lasioglossum titusi",7,0.206458768489914,0.39228909865543,0.0357142857142857
"Megachile angelarum",13,0.452486903409425,0.468243479399925,0.2
"Megachile apicalis",25,0.666975125984941,0.313223452738684,0.2
"Megachile brevis",9,0.533332299261238,0.423188445116434,0.0416666666666667
"Megachile coquilletti",8,0.2896132665088,0.304393517223676,0.4
"Megachile fidelis",6,0.319351722751789,0.233006846613425,0.0833333333333333
"Megachile frugalis",4,0.22455016706815,0.2374533913412,NA
"Megachile gentilis",10,0.290291114502455,0.29098819566344,0.153846153846154
"Megachile lippiae",3,0.132123706725794,0.215386803530266,0.0416666666666667
"Megachile montivaga",6,0.340286599010431,0.290106905853206,0.0357142857142857
"Megachile occidentalis",1,0.0592591443623598,0.35483918638339,0.2
"Megachile onobrychidis",27,0.68029071525059,0.307537327404946,0.0384615384615385
"Megachile parallela",5,0.167220354044492,0.26233360177837,0.25
"Megachile prosopidis",1,0.0592591443623598,0.368649886648365,NA
"Megachile rotundata",13,0.563293890858453,0.228681854409051,0.0769230769230769
"Melissodes agilis",20,0.265147405428698,0.427870980886191,0.0769230769230769
"Melissodes communis alopex",1,0.0592591443623598,0.468140026547416,NA
